idHSP;name_hsp;status_id;pac;tin;city_id;address;georeference_id;phone;cel;name_contact;lastname_contact;email;working_hours;service_id;update_at;created_at
1;'HOSPITAL PABLO TOBON URIBE';1;87796546;890901826;001;'Calle 78 B No. 69 240';4;'6044459000';'3015689547';'Johana';'Sandoval';'hptu@hptu.org.co';'Abierto las 24 horas';4;'2022-06-22 20:13:05';'2022-06-22 20:13:05'
2;'E.S.E. HOSPITAL SANTA MARGARITA';1;85588664;890980949;212;'Carrera 64 No.  48 80';7;'6044000770';'3117495835';'Sebastian';'Mendoza';'gerencia@santamargarita.gov.co';'Abierto las 24 horas';5;'2022-06-22 20:13:05';'2022-06-22 20:13:05'
3;'HOSPITAL ISAIAS DUARTE CANCINO E.S.E';1;78645451;805028530;001;'Calle 96 28 E3 02';10;'6024140707 Ext. 133';'3123654872';'Maria Paula';'Diaz';'hidc_ese@yahoo.es';'Lun - Vie 7:00  - 17:30 Sab - Dom Abierto las 24 horas';6;'2022-06-22 20:13:05';'2022-06-22 20:13:05'
4;'IPS UNIDAD MEDICA ETICA E.U';1;35755466;802021182;573;'Calle 5 No. 8 39';13;'6053096329';'3214589204';'Juliana';'Klinger';'unidadmedicaetica@gmail.com';'Abierto las 24 horas';1;'2022-06-22 20:13:05';'2022-06-22 20:13:05'
5;'E.S.E. HOSPITAL LA MERCED';1;545548;890907241;101;'Calle 49 No. 36 298';6;'6048411182';'3112586736';'Laura';'Cifuentes';'diradministrativa@hlamerced.gov.co';'Abierto las 24 horas';4;'2022-06-22 20:13:05';'2022-06-22 20:13:05'
6;'CLINICA DE OCCIDENTE';1;32350215;890300513;001;'Calle 18 Norte No. 5 34';9;'6025248505';'3214856798';'Sandra';'Quintana';'clinicalidad@cdo-sa.com';'Abierto las 24 horas';2;'2022-06-22 20:13:05';'2022-06-22 20:13:05'
7;'CLINICA PORTOAZUL S.A SIGLA CPA';1;38321325;900248882;001;'Carrera 30 Corredor Universitario No. 1  851';12;'6053597533 6053672600';'3198564791';'Pablo';'Cervera';'jmadriñan@clinicaportoazul.com';'Abierto las 24 horas';1;'2022-06-22 20:13:05';'2022-06-22 20:13:05'
8;'CENTRO DE ATENCION Y DIAGNOSTICO DE ENFERMEDADES INFECCIOSAS CDI S.A.';1;30623748;804002599;001;'Carrera 37 No. 51 126';15;'6076431666 Ext. 101';'3153196367';'Wilmar';'Espitia';'atencioncliente@cdi.net.co';'Lun - Vie 7:00  - 19:00 Sab 8:00 - 13:00 Dom Cerrado';5;'2022-06-22 20:13:05';'2022-06-22 20:13:05'
9;'CLINICA VASCULAR NAVARRA LTDA';1;50859;800247537;001;'Autopista Norte No. 106 -31';1;'6016026847 6016059999 Ext. 302';'3112589632';'Camilo';'Duarte';'secgerencia@cardiovascularnavarra.org';'Abierto las 24 horas';2;'2022-06-22 20:13:05';'2022-06-22 20:13:05'
10;'IPS UNIVERSITARIA CLINICA LEON XIII (Bloque 2)';1;8846464;811016192;001;'Calle 69 No. 51C 24';5;'6044477085 Opc. 1 Ext. 32395 32321 32563';'3108685227';'Leidy';'Bocanegra';'contratacion@ipsuniversitaria.com.co';'Abierto las 24 horas';1;'2022-06-22 20:13:05';'2022-06-22 20:13:05'
11;'CLINICA GIRON E.S.E';1;33189607;900118885;307;'Calle 33 No. 25 36';14;'6076531312';'3056874433';'Eduardo';'Martinez';'gerencia@clinicagiron.gov.co';'Lun - Vie 7:00  - 19:00 Sab - Dom Cerrado';5;'2022-06-22 20:13:05';'2022-06-22 20:13:05'
12;'IMAGENES DIAGNOSTICAS DEL COUNTRY';1;46548465;830070284;001;'Carrera 16 A No. 82 38';2;'6016449201 Ext. 205';'3004920114';'Milton';'Rodriguez';'resomagdecol@rmcs.com.co';'Lun - Vie 7:00  - 19:00 Sab 8:00 - 13:00 Dom Cerrado';2;'2022-06-22 20:13:05';'2022-06-22 20:13:05'
13;'KAMEX FISIOTERAPIA';1;7885225;900358852;001;'Carrera 32 No.10 35 ';8;'6024456969';'3185987223';'Nicolas';'Medina';'info@kamex.com.co';'Lun - Vie 7:00  - 19:00 Sab 8:00 - 13:00 Dom Cerrado';1;'2022-06-22 20:13:05';'2022-06-22 20:13:05'
14;'REHABILITACION FISICA INTEGRAL IPS EU';1;54564121;900045689;520;'Carrera 27 No. 37 34';11;'6022740470';'3117495835';'Martha';'Jara';'marthajara@hotmail.com';'Lun - Vie 7:00  - 19:00 Sab 8:00 - 13:00 Dom Cerrado';4;'2022-06-22 20:13:05';'2022-06-22 20:13:05'
15;'FUNDACION HOSPITAL SAN CARLOS';1;121564787;860007373;001;'Carrera 12 D No. 32 44';3;'6017443333';'3226589856';'Jorge';'Cortes';'jcortes@fhsc.org.co';'Abierto las 24 horas';3;'2022-06-22 20:13:05';'2022-06-22 20:13:05'
